date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount
2020-07-10,44.6700,45.0800,41.1000,42.6500,35.7904,103226249,0.0000
2020-07-02,43.8100,45.3800,43.1600,44.0800,36.9904,74671241,0.0000
2020-06-26,45.6900,47.2200,43.5000,43.6200,36.6044,114875757,0.0000
2020-06-19,45.3500,49.7500,44.7500,45.9800,38.5849,143669170,0.0000
2020-06-12,54.7200,55.3600,45.9100,47.1700,39.5835,161970450,0.0000
2020-06-05,45.3200,53.4500,44.8000,53.0800,44.5429,124758298,0.0000
2020-05-29,45.7400,47.1400,44.3700,45.4700,38.1569,86685821,0.0000
2020-05-22,44.4000,46.6300,43.4500,44.6000,37.4268,107627418,0.0000
2020-05-15,46.1100,46.2000,40.2000,42.0000,35.2450,125651040,0.8700
2020-05-08,42.5100,47.1500,42.2200,46.1800,38.0033,121458825,0.0000
2020-05-01,43.5900,47.6800,42.2300,43.1400,35.5016,156747505,0.0000
2020-04-24,40.7500,44.8900,39.6300,43.7300,35.9871,174547723,0.0000
2020-04-17,44.4500,44.6900,38.9300,43.2200,35.5674,164985113,0.0000
2020-04-09,39.8800,46.7100,39.2300,43.1300,35.4933,183509192,0.0000
2020-04-03,36.2300,42.1800,35.8600,39.2100,32.2674,233611560,0.0000
2020-03-27,32.5300,39.5600,30.1100,36.9500,30.4076,273470362,0.0000
2020-03-20,34.4000,37.8800,31.2300,32.7400,26.9430,269485426,0.0000
2020-03-13,41.7100,46.2600,35.0000,38.1200,31.3704,330010575,0.0000
2020-03-06,52.5900,54.1500,47.2000,47.6900,39.2459,209136707,0.0000
2020-02-28,57.6200,57.8000,48.0100,51.4400,42.3320,208810222,0.0000
2020-02-21,60.1500,60.6200,58.7900,59.1300,48.6604,66759439,0.0000
2020-02-14,60.4800,61.5300,59.6200,60.6500,49.9112,81468467,0.8700
2020-02-07,61.3800,63.0100,59.8900,61.4700,49.8625,122541085,0.0000
2020-01-31,65.4200,65.7300,61.8600,62.1200,50.3898,107877154,0.0000
2020-01-24,68.3800,68.4200,66.0400,66.3200,53.7967,72843124,0.0000
2020-01-17,69.2000,69.8700,68.2900,68.5600,55.6137,69083890,0.0000
2020-01-10,70.3200,71.3600,68.6300,69.1400,56.0842,79417321,0.0000
2020-01-03,70.0900,71.3700,69.0100,70.3300,57.0495,55682094,0.0000
2019-12-27,69.8600,70.5000,69.5300,69.8900,56.6926,37507758,0.0000
2019-12-20,69.7000,70.3800,69.2400,69.9400,56.7331,91676030,0.0000
2019-12-13,69.0800,70.5400,68.6700,69.2300,56.1572,68512056,0.0000
2019-12-06,68.5000,69.8700,67.5200,69.5100,56.3843,61838387,0.0000
2019-11-29,69.3700,69.4400,68.0000,68.1300,55.2649,42501366,0.0000
2019-11-22,68.7000,70.1800,67.3200,69.3700,56.2708,65846306,0.0000
2019-11-15,70.2100,70.6100,68.1800,69.1900,56.1248,57164628,0.0000
2019-11-08,70.0700,73.1200,69.9400,70.7700,57.4064,69938464,0.8700
2019-11-01,69.4600,69.6700,67.1400,69.6000,55.7717,68194498,0.0000
2019-10-25,67.8200,70.0500,67.8200,69.2500,55.4913,45361566,0.0000
2019-10-18,68.6000,70.0000,67.6100,67.6100,54.1771,46727320,0.0000
2019-10-11,68.7000,69.4900,66.6400,68.9800,55.2749,49153754,0.0000
2019-10-04,71.2400,71.4500,66.3100,68.9700,55.2669,59481462,0.0000
2019-09-27,71.5200,72.3600,70.6300,71.4800,57.2782,46828363,0.0000
2019-09-20,75.0400,75.1800,71.8600,72.0800,57.7590,70007961,0.0000
2019-09-13,71.1600,72.8500,70.7000,72.6400,58.2077,53181858,0.0000
2019-09-06,67.8900,70.9500,67.6300,70.9300,56.8375,37128079,0.0000
2019-08-30,68.1200,69.0800,66.9700,68.4800,54.8743,44671070,0.0000
2019-08-23,68.9700,69.9800,67.0300,67.4900,54.0809,54258513,0.0000
2019-08-16,70.0600,70.6200,66.5300,68.3000,54.7300,66086207,0.8700
2019-08-09,70.7800,72.4100,69.4000,70.8400,56.0649,74585002,0.0000
2019-08-02,74.8800,75.6600,71.1800,71.7500,56.7851,65667235,0.0000
2019-07-26,75.2400,76.0500,74.5000,74.8100,59.2068,41942932,0.0000
2019-07-19,77.6300,77.7400,74.1800,74.9900,59.3493,47402001,0.0000
2019-07-12,76.1400,77.8800,75.7300,77.6300,61.4387,36359985,0.0000
2019-07-05,77.1300,77.9300,75.4100,76.1300,60.2515,34056399,0.0000
2019-06-28,77.5300,77.7600,75.7600,76.6300,60.6472,54046783,0.0000
2019-06-21,74.1600,77.7600,74.0400,77.6900,61.4861,68542433,0.0000
2019-06-14,75.1900,75.8100,73.8100,74.3500,58.8428,42658888,0.0000
2019-06-07,71.0900,74.9600,70.9700,74.5800,59.0248,53706489,0.0000
2019-05-31,74.2400,74.2500,70.6300,70.7700,56.0095,51903558,0.0000
2019-05-24,76.0500,76.4600,73.0400,74.1000,58.6449,45216831,0.0000
2019-05-17,75.6500,76.9500,75.2100,75.9100,60.0774,49027739,0.0000
2019-05-10,76.9200,77.6600,75.1700,76.5600,60.5918,62496411,0.8700
2019-05-03,80.1200,80.5300,77.2400,77.4700,60.6231,65196061,0.0000
2019-04-26,81.8700,83.4900,79.5600,80.4900,62.9864,62238190,0.0000
2019-04-18,80.8900,81.8300,80.5200,81.1300,63.4872,33347098,0.0000
2019-04-12,82.6700,83.2000,80.5800,80.9200,63.3229,53748295,0.0000
2019-04-05,81.2300,82.5300,80.6100,82.4900,64.5515,46445353,0.0000
2019-03-29,80.0000,81.4800,79.5900,80.8000,63.2290,46353797,0.0000
2019-03-22,80.4400,82.0000,80.3000,80.4800,62.9786,59525451,0.0000
2019-03-15,79.9800,80.9100,79.6500,80.1500,62.7203,67934657,0.0000
2019-03-08,80.2400,80.5500,77.8600,79.0100,61.8282,83222209,0.0000
2019-03-01,78.4300,80.0000,78.2000,80.0000,62.6030,62680475,0.0000
2019-02-22,77.5600,78.9500,77.4500,78.4200,61.3665,45969888,0.0000
2019-02-15,73.8800,77.7600,73.4000,77.7100,60.8109,63352221,0.0000
2019-02-08,75.7600,75.7700,72.7300,73.9800,57.8921,65516072,0.8200
2019-02-01,71.0200,76.4900,70.3700,75.9200,58.7589,78561806,0.0000
2019-01-25,72.3900,72.7100,70.6400,71.7200,55.5083,48493861,0.0000
2019-01-18,71.2100,73.2900,70.9000,72.9900,56.4912,59807219,0.0000
2019-01-11,71.2500,72.6000,70.7400,71.7200,55.5083,58697895,0.0000
2019-01-04,68.3200,71.2700,67.2600,71.1500,55.0671,62444010,0.0000
2018-12-28,66.8700,69.5800,64.6500,68.1700,52.7607,80938210,0.0000
2018-12-21,75.2600,75.6000,67.6700,68.1200,52.7220,131835873,0.0000
2018-12-14,77.8600,78.2000,74.8000,75.5800,58.4958,74667465,0.0000
2018-12-07,80.2400,81.9500,76.9200,77.6400,60.0901,77398287,0.0000
2018-11-30,76.2400,79.6000,76.1200,79.5000,61.5297,59863199,0.0000
2018-11-23,78.4600,79.3600,74.7000,75.4900,58.4261,45525693,0.0000
2018-11-16,81.6600,81.7300,75.9100,78.9600,61.1117,78669819,0.0000
2018-11-09,82.5000,83.7500,79.6900,80.8700,62.5900,69513662,0.8200
2018-11-02,78.0700,82.4500,76.2200,81.9500,62.7892,83603946,0.0000
2018-10-26,82.0000,82.1800,76.9600,77.5300,59.4027,71500939,0.0000
2018-10-19,81.3800,82.4700,80.0100,81.9700,62.8045,62135536,0.0000
2018-10-12,84.7900,86.8800,80.2700,81.3800,62.3525,75530030,0.0000
2018-10-05,85.3500,86.8900,84.9300,85.3400,65.3866,46650049,0.0000
2018-09-28,85.7900,87.3600,84.9900,85.0200,65.1414,53806013,0.0000
2018-09-21,83.0000,85.4300,82.9900,85.1700,65.2563,65874414,0.0000
2018-09-14,82.2400,83.7800,81.6300,82.9200,63.5324,54870905,0.0000
2018-09-07,80.4100,81.9300,79.6000,81.8300,62.6973,52471873,0.0000
2018-08-31,79.9100,81.0400,79.7700,80.1700,61.4254,41650885,0.0000
2018-08-24,78.2600,80.0500,78.1700,79.6200,61.0040,41191677,0.0000
2018-08-17,79.4500,79.7500,76.5100,78.2600,59.9620,56321170,0.0000
2018-08-10,80.2500,81.5900,78.8600,79.4200,60.8508,50798152,0.8200
2018-08-03,82.1300,82.1500,79.4500,80.2000,60.8204,48111917,0.0000
2018-07-27,81.9500,84.4000,80.8100,81.9200,62.1248,60711257,0.0000
2018-07-20,82.5200,82.7900,81.2500,81.4000,61.7305,42260843,0.0000
2018-07-13,82.8100,84.1200,82.0300,83.3100,63.1789,44854088,0.0000
2018-07-06,81.8900,83.4500,81.3200,82.3300,62.4357,33868565,0.0000
2018-06-29,80.7800,83.5400,79.3000,82.7300,62.7391,60378156,0.0000
2018-06-22,80.4000,81.9400,79.3300,81.3800,61.7153,54568010,0.0000
2018-06-15,83.7200,83.7900,80.5100,80.6600,61.1693,70507372,0.0000
2018-06-08,82.0500,83.6600,80.4100,83.6000,63.3988,62470148,0.0000
2018-06-01,78.1500,82.3500,77.5300,81.8300,62.0565,56981492,0.0000
2018-05-25,81.7300,82.6500,78.0900,78.7100,59.6905,62639130,0.0000
2018-05-18,81.7000,82.3200,81.1700,81.3000,61.6546,55272846,0.0000
2018-05-11,77.7400,81.9700,76.3700,81.2800,61.6394,82105440,0.8200
2018-05-04,77.9100,78.5600,75.4000,76.9000,57.7354,67273894,0.0000
2018-04-27,78.9200,80.9000,76.4800,77.7900,58.4036,70598683,0.0000
2018-04-20,78.1200,79.8200,77.7100,79.0000,59.3120,56646837,0.0000
2018-04-13,75.2200,78.1900,74.8000,77.8400,58.4411,68324586,0.0000
2018-04-06,74.2700,76.3200,72.1600,74.8700,56.2113,75511964,0.0000
2018-03-29,73.6500,74.8900,72.7500,74.6100,56.0161,62566739,0.0000
2018-03-23,75.0000,75.6400,72.6700,72.8900,54.7247,75946394,0.0000
2018-03-16,74.8700,75.8200,73.5300,75.1200,56.3990,86630295,0.0000
2018-03-09,75.2300,76.9800,73.5600,74.5600,55.9785,90919848,0.0000
2018-03-02,77.7400,79.8700,74.4800,75.5500,56.7218,78934060,0.0000
2018-02-23,76.4700,77.6200,74.8700,77.5300,58.2084,50185392,0.0000
2018-02-16,77.0500,77.6200,75.1700,76.5400,57.4651,75387706,0.0000
2018-02-09,83.2800,83.9900,73.9000,75.7800,56.8945,142007205,0.7700
2018-02-02,88.5900,89.3000,83.0000,84.5300,62.8255,82752887,0.0000
2018-01-26,87.1700,89.0000,87.0500,89.0000,66.1477,49000021,0.0000
2018-01-19,87.7400,88.2100,86.6000,87.1500,64.7728,42598923,0.0000
2018-01-12,86.7000,87.9900,85.9300,87.5200,65.0478,53207339,0.0000
2018-01-05,83.8200,87.2200,83.6600,86.7500,64.4755,47152870,0.0000
2017-12-29,83.9600,84.3600,83.6400,83.6400,62.1640,27493231,0.0000
2017-12-22,83.0400,84.2700,82.3300,83.9700,62.4093,53381800,0.0000
2017-12-15,82.9500,83.3800,82.4800,83.0300,61.7106,64703822,0.0000
2017-12-08,83.2100,84.1750,82.1700,82.6600,61.4356,55409835,0.0000
2017-12-01,81.3200,84.1300,81.0200,83.4600,62.0302,60206042,0.0000
2017-11-24,80.2300,81.7000,80.0100,81.4200,60.5140,29050528,0.0000
2017-11-17,82.6500,83.0900,80.1450,80.2400,59.6370,45142340,0.0000
2017-11-10,83.3000,84.1400,82.4200,82.9400,61.6437,45092416,0.7700
2017-11-03,83.7100,83.9500,82.9100,83.1800,61.2535,39993640,0.0000
2017-10-27,83.1500,84.2400,82.0100,83.7100,61.6437,48396889,0.0000
2017-10-20,82.7000,83.3910,82.3300,83.1100,61.2019,35568269,0.0000
2017-10-13,81.8400,83.0800,81.7600,82.4100,60.6864,34340095,0.0000
2017-10-06,81.3000,82.2400,81.2450,81.7100,60.1710,32326238,0.0000
